Date,Open,High,Low,Close,Adj Close
2018-09-21T00:00:00Z,1.177606702,1.18016386,1.17357111,1.177592754,1.177592754
2018-09-24T00:00:00Z,1.175101995,1.181502461,1.172525406,1.175101995,1.175101995
2018-09-25T00:00:00Z,1.17532289,1.179245353,1.17325449,1.175295353,1.175295353
2018-09-26T00:00:00Z,1.176609039,1.177699566,1.172896624,1.176318407,1.176318407
2018-09-27T00:00:00Z,1.1747154,1.175917268,1.166452885,1.174853444,1.174853444
2018-09-28T00:00:00Z,1.163683772,1.165300131,1.157059193,1.163737893,1.163737893
2018-10-01T00:00:00Z,1.160496712,1.162128568,1.156510592,1.160537124,1.160537124
2018-10-02T00:00:00Z,1.157755733,1.158211708,1.150668621,1.157755733,1.157755733
2018-10-03T00:00:00Z,1.155041218,1.159326196,1.151635885,1.155174613,1.155174613
2018-10-04T00:00:00Z,1.147736669,1.153599501,1.146460295,1.147631288,1.147631288
2018-10-05T00:00:00Z,1.151755333,1.154254556,1.1487782,1.151808381,1.151808381
2018-10-08T00:00:00Z,1.152392387,1.153136492,1.146092415,1.152259588,1.152259588
2018-10-09T00:00:00Z,1.149464846,1.150483251,1.143327594,1.149412036,1.149412036
2018-10-10T00:00:00Z,1.150403738,1.154199958,1.148066163,1.150694966,1.150694966
2018-10-11T00:00:00Z,1.153216362,1.159756541,1.153216362,1.153336048,1.153336048
2018-10-12T00:00:00Z,1.159044027,1.160954714,1.153695345,1.159044027,1.159044027
2018-10-15T00:00:00Z,1.155094504,1.160564065,1.154361129,1.155134559,1.155134559
2018-10-16T00:00:00Z,1.158332467,1.162006974,1.156711221,1.158345819,1.158345819
2018-10-17T00:00:00Z,1.157635212,1.158211708,1.152179956,1.157527924,1.157527924
2018-10-18T00:00:00Z,1.150086284,1.152737737,1.148290277,1.150086284,1.150086284
2018-10-19T00:00:00Z,1.145514727,1.151450276,1.143366694,1.146000385,1.146000385
2018-10-22T00:00:00Z,1.151118875,1.155199885,1.146236897,1.150946617,1.150946617
2018-10-23T00:00:00Z,1.146473408,1.148976326,1.14399457,1.146789074,1.146789074
2018-10-24T00:00:00Z,1.147262573,1.147578597,1.138407588,1.147315264,1.147315264
2018-10-25T00:00:00Z,1.139873862,1.143079162,1.136621952,1.139925838,1.139925838
2018-10-26T00:00:00Z,1.137514114,1.139847994,1.133619785,1.137785912,1.137785912
2018-10-29T00:00:00Z,1.139873862,1.141578555,1.136441112,1.139873862,1.139873862
2018-10-30T00:00:00Z,1.137514114,1.13870573,1.134738922,1.137617588,1.137617588
2018-10-31T00:00:00Z,1.134584427,1.136015058,1.131170511,1.134635806,1.134635806
2018-11-01T00:00:00Z,1.131388068,1.141317964,1.131375313,1.13166976,1.13166976
2018-11-02T00:00:00Z,1.140276909,1.145540953,1.137565851,1.140328884,1.140328884
