Date,Open,High,Low,Close,Adj Close,Volume,SMA_5,RSI_14,Upper_Band,Middle_Band,Lower_Band,MACD,MACD_Signal,MACD_Hist,ATR_14,Stoch_K,Stoch_D,EMA_10,positive_sentiment_weighted,neutral_sentiment_weighted,negative_sentiment_weighted
2018-11-07,1.144099235534668,1.149993658065796,1.1400558948516846,1.1438506841659546,1.1438506841659546,0,1.1393796443939208,41.78265916008552,1.161544422246862,1.1455631613731383,1.129581900499415,-0.0061950555346936,-0.0070924211846759,0.0008973656499822,0.0079506050869423,42.21456225242984,32.58778402468723,1.1411768826751296,0.3002438659060002,1.161636983087063,0.5381191464620829
2018-11-08,1.1433275938034058,1.144426703453064,1.1405109167099,1.1434059143066406,1.1434059143066406,0,1.1417268753051757,41.354228621909215,1.1606635073397693,1.1450666546821595,1.1294698020245495,-0.0056468098713646,-0.0068032989220136,0.001156489050649,0.0076624037766724,48.60290482025536,41.78071513490087,1.141582161153586,0.3853839906547908,1.251829830395955,0.3627491431539809
2018-11-09,1.1368545293807983,1.1369191408157349,1.132502794265747,1.1368415355682373,1.1368415355682373,0,1.141029405593872,35.55892801676918,1.158543833960492,1.1439565300941468,1.1293692262278017,-0.0056765757054795,-0.0065779542787068,0.0009013785732273,0.0078938835098311,44.6053076655964,45.14092491276052,1.140720229228977,0.4439694134127348,1.33374034081772,0.2223527143374086
2018-11-12,1.1324771642684937,1.1332728862762451,1.1241639852523804,1.132502794265747,1.132502794265747,0,1.1395785570144654,32.33366060645795,1.1572788484309016,1.1428249418735503,1.128371035316199,-0.0059813166115461,-0.0064586267452747,0.0004773101337286,0.0082355739959758,37.77676336692085,43.66165861759086,1.1392261501447536,0.4093840028558458,1.224247682372729,0.366368307409542
2018-11-13,1.1224100589752195,1.1291906833648682,1.122321844100952,1.123342990875244,1.123342990875244,0,1.1359887838363647,26.80584392514146,1.1560545600323069,1.141074800491333,1.1260950409503592,-0.0068826071461793,-0.0065434228254556,-0.0003391843207237,0.0083745294366057,22.033989903350783,34.80535364528934,1.1363383030048428,0.3247582509779725,1.183556367002685,0.4916853791290316
2018-11-14,1.1316057443618774,1.1339668035507202,1.126481294631958,1.1311193704605105,1.1311193704605105,0,1.133442521095276,36.6999939484429,1.153285823039872,1.1397543728351591,1.1262229226304463,-0.0068899742118544,-0.0066127331027354,-0.000277241109119,0.0085351925250965,22.58880460481474,27.466519291695448,1.1353894061786003,0.3616050684817135,1.272358928282559,0.366036005936563
2018-11-15,1.1313625574111938,1.1351124048233032,1.1274974346160889,1.131183385848999,1.131183385848999,0,1.1309980154037476,36.77576046404646,1.1519572177671773,1.1388092279434203,1.1256612381196631,-0.0068121212640923,-0.0066526107350067,-0.0001595105290855,0.0084694623595335,22.502096544435872,22.37496368420045,1.134624675209582,0.3394702568915156,1.245787860880295,0.4147419002337588
2018-11-16,1.13252854347229,1.141422152519226,1.1322592496871948,1.1324899196624756,1.1324899196624756,0,1.1301276922225951,38.396451552927786,1.1511217180685565,1.138133704662323,1.1251456912560895,-0.0065692694336985,-0.0066359424747451,6.667304104662937e-05,0.0085958412388687,33.52044274423386,26.203781297828144,1.1342365378373809,0.2924932169867679,1.093157861087471,0.6143489204123616
2018-11-19,1.1412137746810913,1.1462894678115845,1.1394453048706057,1.141396164894104,1.141396164894104,0,1.1319063663482667,48.15305171532167,1.1493639130457405,1.137656182050705,1.1259484510556697,-0.0055936677311951,-0.0064274875260351,0.0008338197948399,0.0089675345896002,45.89981963973943,33.97411964280304,1.1355382882113303,0.3524510993249714,1.098919977284968,0.5487538969637826
2018-11-20,1.1454753875732422,1.1472758054733276,1.1387057304382324,1.1455016136169434,1.1455016136169434,0,1.1363380908966063,51.93223031406095,1.1491106026315965,1.1375918090343475,1.1260730154370988,-0.0044380617387373,-0.0060296023685755,0.0015915406298382,0.0089391446214212,63.1474875930524,47.522583325675214,1.137349801921442,0.401309474317865,1.209854978751053,0.3888355404118245
